Accident_Severity	Day_of_Week	Light_Conditions	Weather_Conditions	Road_Surface_Conditions
fatal	Thu	Day	Fine	Dry
fatal	Tue	Day	Fine	Dry
fatal	Sat	Day	Fine	Dry
fatal	Fri	Day	Fine	Dry
fatal	Mon	Day	Fine	Dry
fatal	Wed	Night+lit	Rain+hw	Wet
fatal	Thu	Day	Rain	Wet
fatal	Sun	Day	Fine	Dry
fatal	Fri	Day	Rain	Wet
fatal	Sun	Day	Fine	Dry
fatal	Fri	Night+lit	Fine	Dry
fatal	Sat	Night+lit	Fine	Dry
fatal	Fri	Day	Fine	Dry
fatal	Mon	Day	Rain	Wet
fatal	Wed	Night+lit	Fine	Dry
fatal	Tue	Night+lit	Fine	Dry
fatal	Tue	Night+lit	Fine	Dry
fatal	Mon	Day	Fine	Dry
fatal	Sat	Day	Fine	Dry
fatal	Wed	Day	Fine	Dry
fatal	Fri	Day	Fine	Dry
fatal	Mon	Night+lit	Fine	Wet
fatal	Sun	Night+lit	Rain	Wet
fatal	Thu	Day	Fine	Dry
fatal	Mon	Night+lit	Fine	Dry
fatal	Thu	Day	Fine	Dry
fatal	Sun	Night+lit	Fine	Dry
fatal	Tue	Day	Fine	Dry
fatal	Mon	Day	Fine	Dry
fatal	Fri	Night+lit	Fine	Wet
fatal	Sun	Night+lit	Fine	Dry
fatal	Sat	Night+lit	Fine	Dry
fatal	Sat	Day	Fine	Dry
fatal	Thu	Night+lit	Rain+hw	Wet
fatal	Tue	Day	Fine	Dry
fatal	Fri	Night+lit	Fine	Wet
fatal	Tue	Day	Fine	Wet
fatal	Tue	Night+lit	Fine	Dry
fatal	Fri	Day	Fine	Dry
fatal	Sat	Day	Fine	Dry
fatal	Tue	Night+lit	Fine+hw	Wet
fatal	Sat	Day	Fine	Dry
fatal	Sun	Night+lit	Fine	Dry
fatal	Mon	Day	Fine	Dry
fatal	Tue	Night+lit	Fine	Dry
fatal	Tue	Day	Fine	Dry
fatal	Wed	Night+lit	Fine	Dry
fatal	Thu	Day	Fine	Dry
fatal	Wed	Day	Fine	Dry
fatal	Thu	Day	Fine	Dry
fatal	Thu	Day	Fine	Dry
fatal	Thu	Day	Fine	Dry
fatal	Sat	Day	Fine	Dry
fatal	Wed	Day	Fine	Dry
fatal	Sat	Night+lit	Fine	Dry
fatal	Sun	Night+lit	Fine	Dry
fatal	Sun	Night+lit	Fine	Dry
fatal	Tue	Day	Fine	Dry
fatal	Mon	Day	Fine	Dry
fatal	Wed	Night+lit	Fine	Dry
fatal	Thu	Day	Fine	Dry
fatal	Tue	Day	Fine	Dry
fatal	Sun	Night+lit	Fine	Dry
fatal	Sun	Day	Fine	Dry
fatal	Tue	Day	Fine	Dry
fatal	Fri	Night+lit	Rain	Wet
fatal	Mon	Day	Fine	Dry
