Accident_Severity	Day_of_Week	Light_Conditions	Weather_Conditions	Road_Surface_Conditions
slight	Mon	Night+unlit	Fine	Dry
slight	Wed	Night+lit	Fine	Dry
slight	Fri	Night+lit	Fine	Wet
slight	Thu	Night+lit	Rain	Wet
slight	Sun	Night+lit	Rain	Wet
serious	Sun	Night+lit	Rain+hw	Wet
serious	Wed	Night+lit	Fine	Dry
serious	Thu	Night+lit	Fine	Dry
slight	Fri	Night+lit	Rain	Wet
serious	Fri	Night+lit	Rain	Wet
slight	Fri	Night+lit	Rain	Wet
slight	Mon	Night+lit	Rain	Wet
slight	Wed	Night+lit	Rain	Wet
slight	Wed	Night+lit	Rain	Wet
slight	Thu	Night+lit	Other	Wet
slight	Sat	Night+lit	Rain	Wet
slight	Mon	Night+lit	Fine	Dry
slight	Tue	Night+lit	Fine	Dry
slight	Fri	Night+lit	Rain	Wet
slight	Wed	Night+lit	Rain	Wet
slight	Thu	Night+lit	Fine	Wet
slight	Sat	Night+lit	Rain	Wet
slight	Tue	Night+lit	Fine	Dry
slight	Wed	Night+lit	Rain+hw	Wet
slight	Sat	Night+lit	Fine	Dry
slight	Sat	Night+lit	Fine	Dry
slight	Sat	Night+unlit	Fine+hw	Wet
slight	Fri	Night+lit	Rain	Wet
slight	Mon	Night+lit	Fine	Dry
slight	Thu	Night+lit	Fine	Dry
slight	Tue	Night+lit	Rain	Wet
slight	Wed	Night+lit	Fine	Dry
slight	Wed	Night+lit	Fine	Dry
slight	Thu	Night+lit	Fine	Dry
slight	Thu	Night+lit	Fine+hw	Dry
slight	Thu	Night+lit	Fine	Dry
slight	Tue	Night+lit	Fine	Wet
slight	Sun	Night+lit	Fine	Dry
slight	Fri	Night+lit	Fine	Dry
slight	Fri	Night+lit	Rain	Wet
slight	Fri	Night+lit	Rain	Wet
slight	Fri	Night+lit	Fine	Dry
serious	Mon	Night+lit	Fine	Dry
slight	Fri	Night+lit	Fine	Dry
slight	Tue	Night+lit	Fine	Dry
slight	Sat	Night+lit	Fine	Dry
slight	Sat	Night+lit	Fine	Dry
serious	Sun	Night+lit	Other	Wet
slight	Sat	Night+lit	Fine	Dry
slight	Thu	Night+lit	Rain	Wet
slight	Fri	Night+lit	Fine	Dry
slight	Mon	Night+lit	Fine	Dry
slight	Tue	Night+lit	Fine	Dry
slight	Tue	Night+lit	Fine	Dry
slight	Thu	Night+lit	Fine	Dry
serious	Fri	Night+lit	Fine	Dry
slight	Sun	Night+lit	Rain	Wet
slight	Fri	Night+lit	Fine	Wet
slight	Mon	Night+lit	Rain	Wet
slight	Wed	Night+lit	Fine	Wet
slight	Tue	Night+lit	Fine	Dry
slight	Mon	Night+lit	Rain	Wet
slight	Mon	Night+lit	Fine	Dry
slight	Mon	Night+lit	Rain	Wet
slight	Sat	Night+unlit	Fine	Dry
slight	Wed	Night+lit	Fine	Dry
slight	Mon	Night+lit	Fine	Wet
serious	Sat	Night+lit	Fine	Dry
slight	Mon	Night+lit	Rain	Wet
slight	Tue	Night+lit	Fine	Dry
slight	Mon	Night+lit	Fine	Dry
slight	Tue	Night+lit	Fine	Dry
slight	Mon	Night+lit	Fine	Dry
slight	Sat	Night+lit	Fine	Dry
slight	Thu	Night+lit	Fine	Dry
slight	Mon	Night+lit	Fine	Dry
serious	Sat	Night+lit	Fine	Dry
slight	Wed	Night+lit	Fine	Wet
slight	Thu	Night+lit	Fine	Dry
slight	Sat	Night+lit	Fine	Dry
slight	Tue	Night+lit	Fine	Dry
slight	Sat	Night+lit	Fine	Dry
slight	Tue	Night+lit	Fine	Dry
slight	Wed	Night+lit	Fine	Dry
slight	Sun	Night+lit	Rain	Wet
slight	Mon	Night+lit	Fine	Dry
slight	Fri	Night+lit	Fine	Dry
slight	Sun	Night+lit	Fine	Dry
slight	Sun	Night+lit	Fine	Dry
slight	Sat	Night+lit	Fine	Wet
slight	Fri	Night+lit	Fine	Dry
slight	Wed	Night+lit	Fine	Dry
slight	Sun	Night+lit	Fine	Dry
slight	Mon	Night+unlit	Unkn	Dry
slight	Wed	Night+lit	Fine	Dry
slight	Sun	Night+lit	Fine	Dry
slight	Sat	Night+lit	Other	Wet
slight	Wed	Night+lit	Rain	Wet
slight	Fri	Night+lit	Fine	Dry
slight	Tue	Night+lit	Fine	Dry
slight	Tue	Night+lit	Fine	Dry
slight	Sun	Night+lit	Fine	Dry
slight	Thu	Night+lit	Fine	Dry
serious	Thu	Night+lit	Fine	Dry
slight	Fri	Night+lit	Fine	Dry
slight	Fri	Night+lit	Fine	Dry
slight	Thu	Night+lit	Unkn	Dry
slight	Fri	Night+lit	Fine	Dry
slight	Sat	Night+lit	Fine	Dry
slight	Tue	Night+lit	Fine	Dry
slight	Tue	Night+lit	Fine	Dry
slight	Tue	Night+lit	Fine	Dry
slight	Tue	Night+lit	Fine	Dry
slight	Thu	Night+lit	Fine	Dry
slight	Fri	Night+lit	Fine	Dry
slight	Sat	Night+lit	Fine	Dry
slight	Sat	Night+lit	Fine	Dry
slight	Wed	Night+lit	Fine	Dry
slight	Fri	Night+lit	Fine	Wet
slight	Thu	Night+lit	Rain	Wet
slight	Sun	Night+lit	Fine	Dry
slight	Sun	Night+lit	Rain	Wet
